Gene Name	Accession-1	Left-End-Position	Right-End-Position	Product	Characterization
ubiI	b2906	3051115	3052317	2-octaprenylphenol 6-hydroxylase	WELL-CHARACTERIZED
ycfZ	b1121	1180479	1181267	putative inner membrane protein YcfZ	UNCHARACTERIZED
mdtA	b2074	2154016	2155263	multidrug efflux pump membrane fusion protein MdtA	WELL-CHARACTERIZED
oppC	b1245	1303834	1304742	murein tripeptide ABC transporter / oligopeptide ABC transporter inner membrane subunit OppC	WELL-CHARACTERIZED
kdgK	b3526	3679419	3680348	2-dehydro-3-deoxygluconokinase	WELL-CHARACTERIZED
araA	b0062	66835	68337	L-arabinose isomerase	WELL-CHARACTERIZED
yibH	b3597	3770243	3771379	inner membrane protein YibH	UNCHARACTERIZED
nlpI	b3163	3308040	3308924	lipoprotein NlpI	WELL-CHARACTERIZED
yibY	b4796	3798039	3798149	protein YibY	UNCHARACTERIZED
rrfC	b3759	3946700	3946819	5S ribosomal RNA	WELL-CHARACTERIZED
ybdG	b0577	603416	604663	miniconductance mechanosensitive channel YbdG	WELL-CHARACTERIZED
ydhK	b1645	1722121	1724133	putative transporter YdhK	PARTIAL
rrlC	b3758	3943704	3946607	23S ribosomal RNA	WELL-CHARACTERIZED
sfmC	b0531	558974	559666	putative fimbrial chaperone SfmC	PARTIAL
mak	b0394	410144	411052	fructokinase	PARTIAL
mdtB	b2075	2155263	2158385	multidrug efflux pump RND permease subunit MdtB	WELL-CHARACTERIZED
rpnA	b3411	3543167	3544045	recombination-promoting nuclease RpnA	WELL-CHARACTERIZED
pdeH	b3525	3678420	3679187	cyclic di-GMP phosphodiesterase PdeH	WELL-CHARACTERIZED
wzxC	b2046	2118680	2120158	colanic acid repeat unit flippase	WELL-CHARACTERIZED
yfcV	b2339	2455083	2455646	putative fimbrial protein YfcV	PARTIAL
slyX	b3348	3477640	3477858	protein SlyX	UNCHARACTERIZED
ftsX	b3462	3601028	3602086	cell division protein FtsX	PARTIAL
oppF	b1247	1305764	1306768	murein tripeptide ABC transporter / oligopeptide ABC transporter ATP binding subunit OppF	WELL-CHARACTERIZED
ybiX	b0804	838530	839207	PKHD-type hydroxylase YbiX	PARTIAL
ykgJ	b0288	303853	304182	putative metal-chelating domain-containing protein YkgJ	PARTIAL
ydiM	b1690	1771071	1772285	putative exporter YdiM	PARTIAL
fadJ	b2341	2457015	2459159	anaerobic multifunctional fatty acid oxidation complex subunit alpha	WELL-CHARACTERIZED
naRNA1		4326305	4326381	naRNA1	UNCHARACTERIZED
ydhV	b1673	1751728	1753830	putative oxidoreductase YdhV	PARTIAL
rfaD	b3619	3793987	3794919	ADP-L-glycero-D-mannoheptose 6-epimerase	WELL-CHARACTERIZED
menC	b2261	2375000	2375962	o-succinylbenzoate synthase	WELL-CHARACTERIZED
ybcL	b0545	570893	571444	DLP12 prophage; periplasmic protein YbcL	PARTIAL
ypjJ	b4548	2776877	2777077	CP4-57 prophage; DUF987 domain-containing protein YpjJ	UNCHARACTERIZED
cydD	b0887	929196	930962	heme ABC transporter subunit CydD	WELL-CHARACTERIZED
yncL	b4598	1517099	1517194	uncharacterized protein YncL	UNCHARACTERIZED
thrW	b0244	262871	262946	tRNA-Thr(CGU)	WELL-CHARACTERIZED
exbD	b3005	3150818	3151243	Ton complex subunit ExbD	WELL-CHARACTERIZED
fsaB	b3946	4139046	4139708	fructose-6-phosphate aldolase 2	WELL-CHARACTERIZED
renD	b0542			DLP12 prophage; protein RenD	
insI2	b1404	1469358	1470509	IS30 transposase	WELL-CHARACTERIZED
yncP	b4774	1491876	1491944	protein YncP	UNCHARACTERIZED
yccF	b0961	1023902	1024348	PF03733 family inner membrane protein YccF	UNCHARACTERIZED
ftsH	b3178	3325001	3326935	ATP-dependent zinc metalloprotease FtsH	WELL-CHARACTERIZED
pyrI	b4244	4470986	4471447	aspartate carbamoyltransferase, PyrI subunit	WELL-CHARACTERIZED
yjiS	b4341	4571751	4571915	DUF1127 domain-containing protein YjiS	UNCHARACTERIZED
rimI	b4373	4608185	4608631	protein <i>N</i>-acetyltransferase RimI	WELL-CHARACTERIZED
yrhB	b3446	3584759	3585043	putative heat shock chaperone	PARTIAL
zwf	b1852	1934839	1936314	NADP+-dependent glucose-6-phosphate dehydrogenase	WELL-CHARACTERIZED
ygcO	b2767	2893919	2894179	putative 4Fe-4S cluster-containing protein	PARTIAL
aqpZ	b0875	915352	916047	water channel AqpZ	WELL-CHARACTERIZED
paaI	b1396	1460471	1460893	phenylacetyl-CoA thioesterase	PARTIAL
lolB	b1209	1262877	1263500	outer membrane lipoprotein LolB	WELL-CHARACTERIZED
yecM	b1875	1959280	1959846	putative metal-binding enzyme YecM	PARTIAL
ytfP	b4222	4447894	4448235	&gamma;-glutamylamine cyclotransferase family protein YtfP	UNCHARACTERIZED
ffh	b2610	2746434	2747795	signal recognition particle protein component	WELL-CHARACTERIZED
murD	b0088	97087	98403	UDP-<i>N</i>-acetylmuramoyl-L-alanine&mdash;D-glutamate ligase	WELL-CHARACTERIZED
ispZ	b4809	194784	194844	small regulatory RNA IspZ	WELL-CHARACTERIZED
ryjB	b4624	4527977	4528066	small RNA RyjB	PARTIAL
radD	b2184	2280632	2282392	DNA repair helicase RadD	WELL-CHARACTERIZED
metA	b4013	4214280	4215209	homoserine <i>O</i>-succinyltransferase	WELL-CHARACTERIZED
gsiA	b0829	867520	869391	glutathione ABC transporter ATP binding subunit GsiA	WELL-CHARACTERIZED
ybhS	b0793	826119	827252	ABC exporter membrane subunit YbhS	WELL-CHARACTERIZED
ydjA	b1765	1848125	1848676	putative oxidoreductase YdjA	PARTIAL
yddJ	b1470	1544384	1544719	uncharacterized protein YddJ	
ulaF	b4198	4423700	4424386	L-ribulose-5-phosphate 4-epimerase UlaF	WELL-CHARACTERIZED
pgaB	b1023	1087839	1089857	poly-&beta;-1,6-<i>N</i>-acetyl-D-glucosamine <i>N</i>-deacetylase and &beta;-1,6 glycoside hydrolase	WELL-CHARACTERIZED
ybeR	b0645	676711	677418	DUF1266 domain-containing protein YbeR	UNCHARACTERIZED
usg	b2319	2435636	2436649	putative semialdehyde dehydrogenase Usg	PARTIAL
hemB	b0369	388753	389727	porphobilinogen synthase	WELL-CHARACTERIZED
yahH	b0322	339769	340089	putative uncharacterized protein YahH	UNCHARACTERIZED
cusA	b0575	598714	601857	copper/silver export system RND permease	WELL-CHARACTERIZED
cynR	b0338	357791	358690	DNA-binding transcriptional dual regulator CynR	WELL-CHARACTERIZED
speD	b0120	134788	135582	<i>S</i>-adenosylmethionine decarboxylase proenzyme // &beta; cleavage product of SpeD // &alpha; cleavage product of SpeD	WELL-CHARACTERIZED
yagK	b0277	292322	292948	CP4-6 prophage; uncharacterized protein YagK	UNCHARACTERIZED
hofO	b3393	3521009	3521449	DNA utilization protein HofO	PARTIAL
ubiU	b3158	3301485	3302480	ubiquinone biosynthesis protein UbiU	WELL-CHARACTERIZED
msrA	b4219	4441538	4442176	methionine sulfoxide reductase A	WELL-CHARACTERIZED
yrhA	b3443			putative uncharacterized protein YrhA	
ptsG	b1101	1157869	1159302	EIIBC<sup>glc</sup> - phosphorylated // glucose-specific PTS enzyme IIBC component	WELL-CHARACTERIZED
pntB	b1602	1674972	1676360	pyridine nucleotide transhydrogenase subunit &beta;	WELL-CHARACTERIZED
omrA	b4444	2976102	2976189	small regulatory RNA OmrA	WELL-CHARACTERIZED
rimO	b0835	876710	878035	ribosomal protein S12 methylthiotransferase RimO	WELL-CHARACTERIZED
fepE	b0587	618254	619387	polysaccharide co-polymerase family protein FepE	WELL-CHARACTERIZED
ynfG	b1589	1662990	1663607	putative oxidoreductase YnfG	PARTIAL
phoH	b1020	1084992	1086056	ATP-binding protein PhoH	PARTIAL
ybeM	b4581	658031	658818	deamidated glutathione amidase, N-terminal fragment	
leuO	b0076	84368	85312	DNA-binding transcriptional dual regulator LeuO	WELL-CHARACTERIZED
malF	b4033	4243531	4245075	maltose ABC transporter membrane subunit MalF	WELL-CHARACTERIZED
ssrA	b2621	2755593	2755955	tmRNA	WELL-CHARACTERIZED
yghF	b2970	3112054	3113049	putative type II secretion system C-type protein YghF	PARTIAL
napH	b2204	2298715	2299578	ferredoxin-type protein NapH	WELL-CHARACTERIZED
wcaE	b2055	2128904	2129650	GDP-Fuc:2/3-O-Ac-alpha-L-Fuc-(1->3)-alpha-D-Glc-PP-Und alpha-(1,4)-fucosyltransferase	WELL-CHARACTERIZED
pheT	b1713	1795557	1797944	phenylalanine&mdash;tRNA ligase subunit &beta;	WELL-CHARACTERIZED
ruvC	b1863	1946855	1947376	crossover junction endodeoxyribonuclease RuvC	WELL-CHARACTERIZED
cheZ	b1881	1966393	1967037	chemotaxis protein CheZ	WELL-CHARACTERIZED
yjiA	b4352	4587909	4588865	P-loop guanosine triphosphatase YjiA	WELL-CHARACTERIZED
frlC	b4474	3502340	3503170	fructoselysine 3-epimerase	WELL-CHARACTERIZED
ogrK	b2082	2167302	2167520	prophage P2 late control protein OgrK	PARTIAL
flgJ	b1081	1137371	1138312	putative peptidoglycan hydrolase FlgJ	PARTIAL
gadB	b1493	1570645	1572045	glutamate decarboxylase B	WELL-CHARACTERIZED
flgF	b1077	1133802	1134557	flagellar basal-body rod protein FlgF	PARTIAL
ybgE	b0735	774309	774602	PF09600 family protein YbgE	UNCHARACTERIZED
sibE	b4611	3195097	3195240	small RNA SibE	PARTIAL
accD	b2316	2433012	2433926	acetyl-CoA carboxyltransferase subunit &beta;	WELL-CHARACTERIZED
gudP	b2789	2920748	2922100	galactarate/D-glucarate transporter GudP	WELL-CHARACTERIZED
rplS	b2606	2744183	2744530	50S ribosomal subunit protein L19	WELL-CHARACTERIZED
plsB	b4041	4254043	4256466	glycerol-3-phosphate 1-<i>O</i>-acyltransferase	WELL-CHARACTERIZED
rarD	b3819	4003288	4004178	putative transporter RarD	PARTIAL
ampH	b0376	395130	396287	peptidoglycan DD-carboxypeptidase/peptidoglycan DD-endopeptidase	WELL-CHARACTERIZED
arcZ	b4450	3350577	3350697	small regulatory RNA ArcZ	WELL-CHARACTERIZED
hinT	b1103	1161885	1162244	purine nucleoside phosphoramidase	WELL-CHARACTERIZED
torZ	b1872	1954578	1957007	trimethylamine <i>N</i>-oxide reductase 2	WELL-CHARACTERIZED
tpr	b1229	1287087	1287176	protamine-like protein	UNCHARACTERIZED
insB6	b3445	3583677	3584180	IS1 protein InsB	UNCHARACTERIZED
elfD	b0939	998490	999191	putative fimbrial chaperone ElfD	PARTIAL
yabI	b0065	71351	72115	DedA family protein YabI	PARTIAL
clsC	b1046	1106355	1107776	cardiolipin synthase C	WELL-CHARACTERIZED
ybfG	b0691	715947	716597	PF10964 domain-containing protein YbfG	
yodD	b1953	2024986	2025213	stress-induced protein	PARTIAL
yhiL	b4660	3632852	3634458	DUF4049 domain-containing protein YhiL	
ybeF	b0629	660425	661378	putative DNA-binding transcriptional regulator YbeF	PARTIAL
mscM	b4159	4386047	4389370	miniconductance mechanosensitive channel MscM	WELL-CHARACTERIZED
oxyR	b3961	4158490	4159407	DNA-binding transcriptional dual regulator OxyR	WELL-CHARACTERIZED
ydcJ	b1423	1495288	1496631	DUF1338 domain-containing protein YdcJ	UNCHARACTERIZED
fruB	b2169	2262365	2263495	FruB - his299 phosphorylated // fructose-specific PTS multiphosphoryl transfer protein FruB	WELL-CHARACTERIZED
ccp	b3518	3667791	3669188	cytochrome <I>c</i> peroxidase	WELL-CHARACTERIZED
lolE	b1118	1177320	1178564	lipoprotein release complex - inner membrane subunit	WELL-CHARACTERIZED
ygdB	b2824	2962749	2963156	DUF2509 domain-containing protein YgdB	UNCHARACTERIZED
yjiG	b4329	4559539	4560000	Gate family protein YjiG	UNCHARACTERIZED
yfcH	b2304	2421708	2422601	epimerase family protein YfcH	UNCHARACTERIZED
tusE	b0969	1030339	1030668	sulfur transfer protein TusE	WELL-CHARACTERIZED
yeaK	b1787	1873574	1874077	mischarged aminoacyl-tRNA deacylase	WELL-CHARACTERIZED
shiA	b1981	2053643	2054959	shikimate:H+ symporter	WELL-CHARACTERIZED
aphA	b4055	4269414	4270127	acid phosphatase / phosphotransferase	WELL-CHARACTERIZED
ydjH	b1772	1855981	1856928	L-<i>glycero</i>-L-galacto-octuluronate kinase	PARTIAL
yniA	b1725	1807796	1808656	putative kinase YniA	PARTIAL
ylbG	b0502	529645	530016	putative DNA-binding transcriptional regulator YlbG	PARTIAL
msrQ	b1972	2040483	2041118	membrane-bound flavocytochrome MsrQ	WELL-CHARACTERIZED
chiA	b3338	3467160	3469853	endochitinase	PARTIAL
fumA	b1612	1686731	1688377	fumarase A	WELL-CHARACTERIZED
araC	b0064	70387	71265	DNA-binding transcriptional dual regulator AraC	WELL-CHARACTERIZED
ydcO	b1433	1504905	1506080	putative transport protein YdcO	PARTIAL
feaB	b1385	1447519	1449018	phenylacetaldehyde dehydrogenase	WELL-CHARACTERIZED
b2653	b2653	2785800	2785973		
yicH	b3655	3830457	3832166	AsmA family protein YicH	UNCHARACTERIZED
hycB	b2724	2849238	2849849	hydrogenase 3 [Fe-S] protein HycB	WELL-CHARACTERIZED
mnaT	b1448	1518328	1518846	L-amino acid N-acyltransferase	PARTIAL
yeiG	b2154	2243910	2244746	<i>S</i>-formylglutathione hydrolase / <i>S</i>-lactoylglutathione hydrolase	WELL-CHARACTERIZED
arsB	b3502	3648935	3650224	arsenite/antimonite:H<sup>+</sup> antiporter	WELL-CHARACTERIZED
ybdL	b0600	633586	634746	methionine transaminase	PARTIAL
rhaA	b3903	4094723	4095982	L-rhamnose isomerase	WELL-CHARACTERIZED
hokA	b4455	3720448	3720600	small toxic polypeptide	WELL-CHARACTERIZED
pflB	b0903	951272	953554	pyruvate formate-lyase	WELL-CHARACTERIZED
mltC	b2963	3104433	3105512	membrane-bound lytic murein transglycosylase C	WELL-CHARACTERIZED
hslV	b3932	4121757	4122287	peptidase component of the HslVU protease	WELL-CHARACTERIZED
fdoI	b3892	4081225	4081860	formate dehydrogenase O subunit &gamma;	WELL-CHARACTERIZED
yfiF	b2581	2717491	2718528	putative methyltransferase YfiF	PARTIAL
yfaV	b2246	2358863	2360152	putative transporter YfaV	PARTIAL
nadC	b0109	117752	118645	quinolinate phosphoribosyltransferase (decarboxylating)	WELL-CHARACTERIZED
insA2	b0265	279600	279875	IS1 protein InsA	PARTIAL
ybaZ	b0454	475982	476371	DNA base-flipping protein	WELL-CHARACTERIZED
nikE	b3480	3617776	3618582	Ni(2+) ABC transporter ATP binding subunit NikE	WELL-CHARACTERIZED
artI	b0863	902257	902988	putative ABC transporter periplasmic binding protein ArtI	PARTIAL
ldtA	b1990	2062391	2063323	L,D-transpeptidase LdtA	WELL-CHARACTERIZED
nepI	b3662	3840549	3841739	purine ribonucleoside exporter	WELL-CHARACTERIZED
dapA	b2478	2598882	2599760	4-hydroxy-tetrahydrodipicolinate synthase	WELL-CHARACTERIZED
dolP	b3150	3296409	3296984	division and outer membrane stress-associated lipid-binding lipoprotein	PARTIAL
fumB	b4122	4345680	4347326	fumarase B	WELL-CHARACTERIZED
ccmE	b2197	2294901	2295380	periplasmic heme chaperone	WELL-CHARACTERIZED
serT	b0971	1031625	1031712	tRNA-Ser(UGA)	WELL-CHARACTERIZED
osmB	b1283	1343110	1343328	osmotically-inducible lipoprotein OsmB	PARTIAL
yqeH	b2846	2987536	2988168	putative LuxR family transcriptional regulator YqeH	PARTIAL
hemG	b3850	4034608	4035153	protoporphyrinogen oxidase	WELL-CHARACTERIZED
dgcP	b1794	1877715	1878740	diguanylate cyclase DgcP	PARTIAL
rsuA	b2183	2279788	2280483	16S rRNA pseudouridine<sup>516</sup> synthase	WELL-CHARACTERIZED
glrR	b2554	2687469	2688803	DNA-binding transcriptional activator GlrR-phosphorylated // DNA-binding transcriptional activator GlrR	WELL-CHARACTERIZED
frlA	b3370	3499910	3501247	fructoselysine/psicoselysine transporter	WELL-CHARACTERIZED
ribA	b1277	1338570	1339160	GTP cyclohydrolase 2	WELL-CHARACTERIZED
thiI	b0423	441549	442997	tRNA uridine 4-sulfurtransferase	WELL-CHARACTERIZED
ompW	b1256	1314020	1314658	outer membrane protein W	PARTIAL
fsaA	b0825	863642	864304	fructose-6-phosphate aldolase 1	WELL-CHARACTERIZED
yagU	b0287	302991	303605	DUF1440 domain-containing inner membrane protein YagU	PARTIAL
hns	b1237	1292509	1292922	Modified DNA-binding transcriptional dual regulator H-NS // DNA-binding transcriptional dual regulator H-NS	WELL-CHARACTERIZED
hcaF	b2539	2670390	2670908	putative 3-phenylpropionate/cinnamate dioxygenase subunit &beta;	WELL-CHARACTERIZED
rnd	b1804	1886864	1887991	RNase D	WELL-CHARACTERIZED
chpS	b4224	4448447	4448698	ChpS antitoxin of the ChpB-ChpS toxin-antitoxin system	PARTIAL
ybbO	b0493	518340	519149	NADP<sup>+</sup>-dependent aldehyde reductase YbbO	PARTIAL
mug	b3068	3214967	3215473	stationary phase mismatch/uracil DNA glycosylase	WELL-CHARACTERIZED
sufC	b1682	1761766	1762512	Fe-S cluster scaffold complex subunit SufC	WELL-CHARACTERIZED
cynX	b0341	359992	361146	cyanate transporter	PARTIAL
ybdM	b0601	634747	635376	ParB-like nuclease domain-containing protein YbdM	UNCHARACTERIZED
mliC	b1639	1718066	1718395	inhibitor of c-type lysozyme, putative lipoprotein	PARTIAL
lamB	b4036	4247971	4249311	maltose outer membrane channel / phage lambda receptor protein	WELL-CHARACTERIZED
gss	b2988	3136663	3138522	fused glutathionylspermidine amidase / glutathionylspermidine synthetase	WELL-CHARACTERIZED
yfaX	b2248	2361429	2362211	putative DNA-binding transcriptional regulator YfaX	PARTIAL
rihA	b0651	683477	684412	pyrimidine-specific ribonucleoside hydrolase RihA	WELL-CHARACTERIZED
ynjH	b1760	1841863	1842135	DUF1496 domain-containing protein YnjH	UNCHARACTERIZED
slyD	b3349	3477907	3478497	FKBP-type peptidyl-prolyl <i>cis-trans</i> isomerase SlyD	WELL-CHARACTERIZED
otsB	b1897	1981587	1982387	trehalose-6-phosphate phosphatase	WELL-CHARACTERIZED
groS	b4142	4370688	4370981	cochaperonin GroES	WELL-CHARACTERIZED
polB	b0060	63429	65780	DNA polymerase II	WELL-CHARACTERIZED
ydaE	b4526	1417838	1418008	Rac prophage; zinc-binding protein	PARTIAL
yfcC	b2298	2417081	2418601	putative transporter YfcC	PARTIAL
b2191	b2191	2288905	2289027		
chbA	b1736	1819455	1819805	<i>N,N'</i>-diacetylchitobiose-specific PTS enzyme IIA component	WELL-CHARACTERIZED
ymiD	b4772	1344647	1344775	protein YmiD	UNCHARACTERIZED
rpmF	b1089	1147367	1147540	50S ribosomal subunit protein L32	WELL-CHARACTERIZED
yieE	b3712	3893881	3894630	putative phosphopantetheinyl transferase	PARTIAL
yigF	b3817	4002419	4002799	DUF2628 domain-containing protein YigF	UNCHARACTERIZED
yadK	b0136	151003	151599	putative fimbrial protein YadK	PARTIAL
rhtA	b0813	849210	850097	L-threonine/L-homoserine exporter	WELL-CHARACTERIZED
yahC	b0317	334525	335022	uncharacterized protein YahC	UNCHARACTERIZED
yebC	b1864	1947411	1948151	putative transcriptional regulator YebC	PARTIAL
yciH	b1282	1342658	1342984	putative translation factor	PARTIAL
yjiN	b4336	4565966	4567246	DUF445 domain-containing protein YjiN	UNCHARACTERIZED
caiE	b0035	34781	35371	putative transferase CaiE	PARTIAL
mltB	b2701	2824491	2825576	membrane-bound lytic murein transglycosylase B	WELL-CHARACTERIZED
spy	b1743	1825140	1825625	ATP-independent periplasmic chaperone	WELL-CHARACTERIZED
yecN	b1869	1952266	1952661	MAPEG family inner membrane protein YecN	UNCHARACTERIZED
psuT	b2164	2256085	2257335	putative pseudouridine transporter	PARTIAL
yggP	b4465	3076179	3077456	putative zinc-binding dehydrogenase YggP	PARTIAL
sdaA	b1814	1896932	1898296	L-serine deaminase I	WELL-CHARACTERIZED
queD	b2765	2892214	2892579	6-carboxy-5,6,7,8-tetrahydropterin synthase	WELL-CHARACTERIZED
yqeL	b4683	2989819	2989899	uncharacterized protein YqeL	UNCHARACTERIZED
yjcF	b4066	4281783	4283075	pentapeptide repeat-containing protein YjcF	UNCHARACTERIZED
yohP	b4679	2228982	2229065	uncharacterized membrane protein YohP	UNCHARACTERIZED
zinT	b1973	2041375	2042025	metal-binding protein ZinT	WELL-CHARACTERIZED
gpmA	b0755	786843	787595	2,3-bisphosphoglycerate-dependent phosphoglycerate mutase	WELL-CHARACTERIZED
asnC	b3743	3926545	3927003	DNA-binding transcriptional dual regulator AsnC	WELL-CHARACTERIZED
recD	b2819	2950635	2952461	exodeoxyribonuclease V subunit RecD	WELL-CHARACTERIZED
ubiX	b2311	2428057	2428626	flavin prenyltransferase	WELL-CHARACTERIZED
yeaC	b1777	1861702	1861974	DUF1315 domain-containing protein YeaC	UNCHARACTERIZED
rbsC	b3750	3935288	3936253	ribose ABC transporter membrane subunit	WELL-CHARACTERIZED
nadB	b2574	2710420	2712042	L-aspartate oxidase	WELL-CHARACTERIZED
ycdX	b1034	1098879	1099616	zinc-binding phosphatase YcdX	WELL-CHARACTERIZED
fhuF	b4367	4604875	4605663	ferric-siderophore reductase FhuF	WELL-CHARACTERIZED
insE3	b0540	566842	567141	DLP12 prophage; IS3 element protein InsE	UNCHARACTERIZED
yeaX	b1803	1885845	1886810	carnitine monooxygenase subunit YeaX	WELL-CHARACTERIZED
kdpF	b4513	728732	728821	K<sup>+</sup> transporting P-type ATPase subunit KdpF	WELL-CHARACTERIZED
fumE	b2929	3074686	3075195	fumarase E	WELL-CHARACTERIZED
zraR	b4004	4203320	4204645	DNA-binding transcriptional activator ZraR-phosphorylated // DNA-binding transcriptional activator ZraR	WELL-CHARACTERIZED
gntK	b3437	3577065	3577592	D-gluconate kinase, thermostable	WELL-CHARACTERIZED
ascrp	b4841	3485953	3486231	small antisense RNA AsCRP	UNCHARACTERIZED
yqiM	b4787	3247668	3247751	protein YqiM	UNCHARACTERIZED
thiL	b0417	435634	436611	thiamine monophosphate kinase	WELL-CHARACTERIZED
rzpR	b1362	1423345	1423644	Rac prophage; putative endopeptidase RzpR	
ycdZ	b1036	1100296	1100787	inner membrane protein YcdZ	UNCHARACTERIZED
yrdB	b3280	3429766	3430023	DUF1488 domain-containing protein YrdB	UNCHARACTERIZED
rhtB	b3824	4008439	4009059	L-homoserine/L-homoserine lactone/L-threonine exporter	WELL-CHARACTERIZED
potI	b0857	897084	897929	putrescine ABC transporter membrane subunit PotI	WELL-CHARACTERIZED
intE	b1140	1199679	1200806	e14 prophage; putative integrase	PARTIAL
rzoQ	b4689	1639080	1639334	Qin prophage; putative lipoprotein RzoQ	PARTIAL
leuS	b0642	672201	674783	leucine&mdash;tRNA ligase	WELL-CHARACTERIZED
ulaA	b4193	4419980	4421377	L-ascorbate specific PTS enzyme IIC component	WELL-CHARACTERIZED
glpF	b3927	4117245	4118090	glycerol facilitator	WELL-CHARACTERIZED
yjjU	b4377	4612411	4613484	putative patatin-like phospholipase YjjU	PARTIAL
mhpR	b0346	367587	368420	DNA-binding transcriptional activator MhpR	WELL-CHARACTERIZED
fnr	b1334	1398774	1399526	DNA-binding transcriptional dual regulator FNR	WELL-CHARACTERIZED
trpD	b1263	1319789	1321384	anthranilate synthase subunit TrpD	WELL-CHARACTERIZED
puuR	b1299	1361911	1362468	DNA-binding transcriptional repressor PuuR	WELL-CHARACTERIZED
yhcE	b4569			putative uncharacterized protein YhcE	
ysdE	b4798	3853766	3853840	protein YsdE	UNCHARACTERIZED
psuK	b2166	2258355	2259296	putative pseudouridine kinase	PARTIAL
yddA	b1496	1577657	1579342	ABC transporter family protein YddA	PARTIAL
yqcC	b2792	2923784	2924113	DUF446 domain-containing protein YqcC	UNCHARACTERIZED
yaiO	b0358	380069	380842	outer membrane protein YaiO	UNCHARACTERIZED
rna	b0611	644197	645003	RNase I	WELL-CHARACTERIZED
trxA	b3781	3965761	3966090	thioredoxin 1<sub>oxidized</sub> // thioredoxin 1	WELL-CHARACTERIZED
yggU	b2953	3096383	3096673	DUF167 domain-containing protein YggU	UNCHARACTERIZED
galS	b2151	2240628	2241668	DNA-binding transcriptional dual regulator GalS	WELL-CHARACTERIZED
idi	b2889	3033065	3033613	isopentenyl-diphosphate &Delta;-isomerase	WELL-CHARACTERIZED
hpf	b3203	3346173	3346460	ribosome hibernation-promoting factor	WELL-CHARACTERIZED
yebQ	b1828	1910276	1911649	putative transporter YebQ	PARTIAL
ypjI	b4644	2775545	2775816	putative UPF0401 protein YpjI	
glyS	b3559	3722328	3724397	glycine&mdash;tRNA ligase	WELL-CHARACTERIZED
b2596	b2596	2736913	2737119		
ydgK	b1626	1705250	1705690	DUF2569 domain-containing inner membrane protein YdgK	UNCHARACTERIZED
proY	b0402	420986	422359	putative transporter ProY	PARTIAL
grxD	b1654	1733754	1734101	glutaredoxin 4	WELL-CHARACTERIZED
ybcJ	b0528	556661	556873	putative RNA-binding protein YbcJ	PARTIAL
rihC	b0030	27293	28207	ribonucleoside hydrolase RihC	WELL-CHARACTERIZED
aroG	b0754	785633	786685	3-deoxy-7-phosphoheptulonate synthase, Phe-sensitive	WELL-CHARACTERIZED
lptE	b0641	671605	672186	lipopolysaccharide assembly protein LptE	WELL-CHARACTERIZED
gyrB	b3699	3877705	3880119	DNA gyrase subunit B	WELL-CHARACTERIZED
nmpC	b0553			DLP12 prophage; putative outer membrane porin NmpC	
stfR	b1372	1429049	1432411	Rac prophage; putative prophage side tail fiber protein StfR	PARTIAL
lepB	b2568	2704335	2705309	signal peptidase I	WELL-CHARACTERIZED
C0362		1552001	1552386		
sgcC	b4304	4528930	4530243	putative PTS enzyme IIC component SgcC	PARTIAL
yfjF	b2618	2754008	2754298	putative component of the Rsx system	PARTIAL
prmC	b1212	1266094	1266927	protein-(glutamine-N5) methyltransferase	WELL-CHARACTERIZED
hemN	b3867	4052045	4053418	coproporphyrinogen III dehydrogenase	WELL-CHARACTERIZED
yagH	b0271	286789	288399	CP4-6 prophage; putative xylosidase/arabinosidase	PARTIAL
rrsG	b2591	2729616	2731157	16S ribosomal RNA	WELL-CHARACTERIZED
yafQ	b0225	245961	246239	ribosome-dependent mRNA interferase toxin YafQ	WELL-CHARACTERIZED
ybjG	b0841	882792	883388	undecaprenyl pyrophosphate phosphatase	WELL-CHARACTERIZED
mhpD	b0350	372115	372924	2-hydroxypentadienoate hydratase	WELL-CHARACTERIZED
chiZ	b4808	708236	708333	small regulatory RNA ChiZ	WELL-CHARACTERIZED
bdcA	b4249	4473340	4474053	c-di-GMP-binding biofilm dispersal mediator protein	WELL-CHARACTERIZED
mepA	b2328	2445560	2446384	peptidoglycan DD-endopeptidase/peptidoglycan LD-endopeptidase	WELL-CHARACTERIZED
rnt	b1652	1728347	1728994	ribonuclease T	WELL-CHARACTERIZED
ulaD	b4196	4422186	4422836	3-keto-L-gulonate-6-phosphate decarboxylase UlaD	WELL-CHARACTERIZED
yaiT	b4580			putative autotransporter YaiT	
yhiM	b3491	3634841	3635893	inner membrane protein YhiM	UNCHARACTERIZED
mazF	b2782	2910756	2911091	endoribonuclease toxin MazF	WELL-CHARACTERIZED
yecU	b4752	1995655	1995831	protein YecU	UNCHARACTERIZED
ydbD	b1407	1475144	1477450	DUF2773 domain-containing protein YdbD	UNCHARACTERIZED
ydfB	b1572	1648665	1648793	Qin prophage; uncharacterized protein YdfB	UNCHARACTERIZED
wzb	b2061	2135655	2136098	protein-tyrosine phosphatase	WELL-CHARACTERIZED
kduD	b2842	2982497	2983258	2-keto-3-deoxy-D-gluconate dehydrogenase	WELL-CHARACTERIZED
zntA	b3469	3606451	3608649	Zn<sup>2+</sup>/Cd<sup>2+</sup>/Pb<sup>2+</sup> exporting P-type ATPase	WELL-CHARACTERIZED
